Trial,calltype,rms,maxAmp,meanS,stdS,skewS,kurtS,entS,q1,q2,q3,meanT,stdT,skewT,kurtT,entT
echolocation,echo,27.4881,39.29228,35928.22,10203.3,0.273278,2.20761,0.918698,27187.5,36187.5,43125,0.249532,0.143092,-0.07074,1.786926,0.985461
echolocation,echo,12.86185,15.13521,43213.85,10648.28,-0.4643,2.265118,0.918289,36187.5,45187.5,52875,0.372672,0.217452,0.004163,1.789182,0.999596
echolocation,echo,12.96178,15.54963,43100.83,10747.97,-0.46647,2.275692,0.919275,36000,45187.5,52875,0.250129,0.142968,0.006701,1.819633,0.999199
echolocation,echo,12.68482,10.87901,44079.79,10130.05,-0.52684,2.446301,0.910969,37500,45937.5,53250,0.250736,0.143804,-0.01084,1.804141,0.999862
echolocation,echo,12.87566,11.64775,43525.57,10421.08,-0.49987,2.388424,0.916605,36750,45375,52875,0.371554,0.216553,0.026523,1.80546,0.999864
echolocation,echo,14.41286,18.66014,40488.66,11285.88,-0.14916,1.884802,0.928343,31312.5,41625,50625,0.25206,0.141658,-0.00766,1.836075,0.998684
echolocation,echo,16.90357,21.41933,38109.13,11374.45,0.102523,1.813033,0.92339,27562.5,39000,47812.5,0.245499,0.1434,0.02491,1.791975,0.996731
echolocation,echo,25.15511,39.93971,34315.4,10535.79,0.647802,2.345232,0.899012,25312.5,32062.5,42187.5,0.170021,0.097005,0.126365,1.817191,0.987724
echolocation,echo,31.39017,49.33559,31058.44,9182.157,1.082858,3.700482,0.884441,24375,29062.5,35062.5,0.249768,0.139072,-0.01585,1.941213,0.987737
echolocation,echo,18.14733,33.22726,35652.08,11919.03,0.317269,1.838483,0.922015,24375,34500,46125,0.24284,0.14717,-0.0291,1.800397,0.994966
echolocation,echo,17.98294,20.38204,38237.01,10860.43,0.106915,1.957113,0.923692,29437.5,38625,47062.5,0.247357,0.14302,0.065798,1.825896,0.996914
echolocation,echo,24.63183,34.86934,35676.59,11002.23,0.419804,1.973901,0.916572,25875,33187.5,45000,0.255377,0.141291,-0.02021,1.842832,0.989667
echolocation,echo,13.25303,16.56796,42757.57,10781.82,-0.42754,2.202233,0.921961,35250,44812.5,52500,0.366956,0.220528,0.029076,1.769996,0.999221
echolocation,echo,12.67514,13.08256,43739.11,10178.92,-0.47824,2.398738,0.914019,37125,45375,53062.5,0.376906,0.215475,-0.00632,1.807207,0.999621
echolocation,echo,13.10358,12.69177,43512.66,10279.62,-0.47344,2.359784,0.914834,36937.5,45375,52687.5,0.250935,0.143089,-0.00784,1.813934,0.999657
echolocation,echo,12.89535,12.11527,43499.09,10391.36,-0.47425,2.323134,0.916277,36562.5,45375,52875,0.251235,0.143507,-0.00973,1.808278,0.999682
echolocation,echo,16.82121,26.92671,37189.96,11952.4,0.213554,1.744808,0.921727,25875,37125,48187.5,0.250494,0.139486,-0.00151,1.889516,0.996139
echolocation,echo,18.71233,22.67044,35878.09,11015.14,0.455508,2.069363,0.919073,26437.5,34312.5,45000,0.244057,0.139576,0.065189,1.91064,0.995954
echolocation,echo,24.85255,35.67024,31959.33,10606.5,0.923413,2.78931,0.8938,23812.5,28312.5,38625,0.249541,0.135805,0.022621,1.990423,0.990532
echolocation,echo,13.51651,17.20934,42296.14,10771.05,-0.35723,2.146229,0.923005,34875,43875,51937.5,0.252554,0.141461,-0.02341,1.842605,0.998808
echolocation,echo,16.95256,21.63417,37833.66,11353.25,0.12295,1.876444,0.928771,27750,38062.5,47625,0.25148,0.13864,-0.00017,1.905368,0.996396
echolocation,echo,20.61737,23.34722,35383.91,11382.52,0.362494,1.939862,0.920555,25125,34500,44625,0.246668,0.140385,0.022885,1.841829,0.994438
echolocation,echo,19.25033,31.06012,36399.01,11143.46,0.321668,1.981093,0.913964,25875,36562.5,45375,0.249782,0.138648,-0.00426,1.928766,0.994744
echolocation,echo,15.96161,18.98804,38867.57,11855.51,-0.00692,1.756455,0.934375,28312.5,39750,49687.5,0.254725,0.138787,-0.03726,1.877424,0.996915
echolocation,echo,23.15654,54.30045,36375.85,10755,0.271696,2.025771,0.920812,26437.5,36187.5,45000,0.249979,0.130221,0.009607,2.177839,0.980658
echolocation,echo,18.018,18.92236,37667.19,11089.3,0.195871,1.936935,0.928456,27937.5,36937.5,47062.5,0.259501,0.144197,-0.07149,1.815899,0.997463
echolocation,echo,18.94552,23.05387,37381.86,10887.22,0.24901,1.994969,0.925846,27937.5,36750,46312.5,0.242668,0.138314,0.073172,1.903909,0.994838
echolocation,echo,15.66809,23.08268,39496.84,11133.17,0.009823,1.890551,0.92948,30375,39750,49500,0.351633,0.221166,0.124272,1.754754,0.996643
echolocation,echo,24.10839,40.24667,35335.4,11755.95,0.289139,1.874179,0.925596,25500,33937.5,45750,0.261826,0.138016,-0.12101,1.958194,0.991644
echolocation,echo,43.6849,37.3827,34320.25,9569.6,0.433316,2.271924,0.903495,25875,33000,41812.5,0.259811,0.14221,-0.03419,1.815407,0.985213
echolocation,echo,46.11602,54.09654,33472.64,9883.508,0.543205,2.328108,0.90274,24750,31687.5,41250,0.214725,0.120708,-0.00032,1.96834,0.976095
echolocation,echo,20.7247,32.30456,33682.94,10425.72,0.805778,2.657403,0.902829,25687.5,31312.5,40500,0.147359,0.089236,0.238779,1.812709,0.990893
echolocation,echo,12.507,11.08951,43622.5,10414.12,-0.51907,2.402707,0.915595,37125,45562.5,52875,0.251055,0.143886,-0.0127,1.806036,0.999819
echolocation,echo,12.87061,13.18193,43449.67,10376.36,-0.47207,2.336691,0.916366,36562.5,45375,52875,0.251803,0.143662,-0.02445,1.794038,0.999619
echolocation,echo,16.43369,22.21876,38253.97,11594.56,0.064353,1.804143,0.930369,27562.5,39000,48375,0.258747,0.144898,-0.07323,1.776551,0.997093
echolocation,echo,15.02555,17.08512,40032.27,11440.07,-0.18152,1.89596,0.92754,30187.5,42000,49875,0.251298,0.141209,-0.01278,1.823484,0.997726
echolocation,echo,26.08287,37.19503,35910.99,10890.46,0.268609,1.975491,0.920338,25687.5,35812.5,44812.5,0.265405,0.147774,-0.02859,1.809513,0.98648
echolocation,echo,12.42752,12.17571,44110.67,10137.34,-0.5503,2.477187,0.911047,37875,45937.5,53250,0.250357,0.144004,-0.00185,1.790106,0.999728
echolocation,echo,12.61111,11.08738,43719.6,10284.81,-0.50408,2.391145,0.914377,37125,45562.5,53062.5,0.250252,0.144448,-0.01329,1.804441,0.999897
echolocation,echo,12.54247,12.62157,43828.65,10328.74,-0.53159,2.417635,0.91369,37312.5,45750,53062.5,0.250714,0.143138,0.011381,1.809757,0.999664
echolocation,echo,13.62673,13.82562,42082.97,10991.35,-0.36451,2.125416,0.926065,34312.5,43875,51937.5,0.23974,0.137107,0.057384,1.839417,0.998844
echolocation,echo,13.77295,15.42305,41573.86,11243.54,-0.31617,2.022964,0.926127,33562.5,43312.5,51750,0.251159,0.142581,-0.00983,1.83064,0.999178
